                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2576,                 1.1289,                  1.751,                0.94979,                0.86581,                0.93479,                0.68761,                    nan,                    nan,                    nan,              0.0004638,              0.0004638,              0.0004638
                      2,                 1.2959,                 1.2153,                  1.777,                0.95568,                0.81987,                0.91927,                0.62899,                    nan,                    nan,                    nan,             0.00093082,             0.00093082,             0.00093082
                      3,                 1.2857,                 1.1593,                 1.7776,                0.86628,                0.70261,                 0.8326,                0.59253,                    nan,                    nan,                    nan,              0.0013884,              0.0013884,              0.0013884
                      4,                 1.2851,                 1.1839,                 1.7742,                0.88073,                0.78729,                0.86754,                0.62891,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.2779,                 1.1952,                  1.787,                0.89266,                0.67819,                 0.7805,                0.52524,                    nan,                    nan,                    nan,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.2656,                 1.1859,                 1.7856,                0.92033,                0.76551,                0.90299,                0.65248,                    nan,                    nan,                    nan,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.2593,                 1.1144,                 1.7574,                0.93344,                0.79673,                0.87562,                0.62295,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.2547,                 1.1433,                  1.734,                 0.9056,                0.72502,                0.85703,                 0.6317,                    nan,                    nan,                    nan,                0.00133,                0.00133,                0.00133
                      9,                 1.2493,                 1.1167,                 1.7348,                0.89254,                0.76066,                 0.8821,                0.66967,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.1853,                 1.0904,                 1.6828,                0.94738,                0.82176,                 0.9192,                 0.6815,                    nan,                    nan,                    nan,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2223,                  1.103,                 1.7113,                0.94273,                0.83605,                0.91078,                0.66029,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2083,                 1.0668,                 1.7001,                0.97078,                 0.8247,                0.90252,                0.67944,                    nan,                    nan,                    nan,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.1381,                 1.0064,                  1.633,                0.93316,                0.78755,                0.89095,                0.68138,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.1333,                 1.0068,                  1.637,                0.96984,                0.82131,                0.91445,                0.69886,                    nan,                    nan,                    nan,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.1305,                0.97274,                 1.6404,                0.96227,                0.81656,                0.91845,                0.71675,                    nan,                    nan,                    nan,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.1797,                 1.0244,                 1.6458,                0.95166,                0.84449,                0.92679,                0.70297,                    nan,                    nan,                    nan,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.1619,                0.97701,                 1.6178,                0.97282,                0.80008,                0.86184,                0.64511,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.1404,                0.97778,                 1.6143,                0.96133,                0.79667,                0.88537,                0.69572,                    nan,                    nan,                    nan,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.0935,                0.90964,                 1.5632,                0.94169,                0.83853,                0.89859,                0.70678,                    nan,                    nan,                    nan,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.1265,                0.98093,                 1.6168,                0.97466,                0.82786,                 0.9182,                0.71073,                    nan,                    nan,                    nan,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.0726,                0.90561,                  1.556,                0.94939,                 0.7956,                0.91085,                0.70796,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.0991,                 0.9364,                 1.5627,                0.91401,                0.82205,                0.90296,                0.70415,                    nan,                    nan,                    nan,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.0847,                0.92799,                 1.5523,                0.95804,                 0.8561,                 0.9503,                0.71372,                    nan,                    nan,                    nan,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.0925,                 0.9028,                 1.5698,                0.97323,                0.83416,                0.92502,                0.72633,                    nan,                    nan,                    nan,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.0384,                 0.8929,                  1.536,                 0.9597,                0.81544,                0.88417,                0.69153,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.0359,                0.87885,                 1.5099,                0.96402,                0.89075,                0.94837,                0.74848,                    nan,                    nan,                    nan,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.0369,                0.88376,                 1.5296,                0.99034,                0.84417,                0.94775,                0.73543,                    nan,                    nan,                    nan,              0.0010612,              0.0010612,              0.0010612
                     28,                  1.031,                0.85093,                 1.5089,                0.95182,                0.79552,                0.86603,                0.68641,                    nan,                    nan,                    nan,               0.001047,               0.001047,               0.001047
                     29,                 1.0276,                0.86454,                 1.5167,                0.94337,                 0.8984,                0.94396,                0.75983,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
                     30,                  1.021,                0.83518,                 1.4921,                0.94828,                0.80821,                0.89531,                0.72986,                    nan,                    nan,                    nan,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.0103,                0.84853,                 1.4759,                0.98146,                0.86512,                0.93637,                0.74163,                    nan,                    nan,                    nan,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.0361,                0.85446,                 1.5125,                0.97714,                0.83635,                0.92733,                0.74072,                    nan,                    nan,                    nan,             0.00099044,             0.00099044,             0.00099044
                     33,                0.97838,                0.79344,                 1.4602,                0.91772,                0.84016,                0.89053,                0.71533,                    nan,                    nan,                    nan,             0.00097629,             0.00097629,             0.00097629
                     34,                 1.0089,                 0.8101,                 1.4946,                0.96625,                0.86074,                0.91692,                0.74593,                    nan,                    nan,                    nan,             0.00096215,             0.00096215,             0.00096215
                     35,                0.98606,                0.79185,                 1.4691,                0.97241,                0.82916,                0.91931,                0.76769,                    nan,                    nan,                    nan,               0.000948,               0.000948,               0.000948
                     36,                0.97233,                0.76314,                  1.453,                0.96052,                 0.8309,                0.90945,                0.73657,                    nan,                    nan,                    nan,             0.00093385,             0.00093385,             0.00093385
                     37,                0.94352,                0.75303,                 1.4586,                0.96403,                0.86418,                 0.9275,                0.75391,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     38,                0.99269,                0.79621,                 1.4617,                 0.9895,                0.85223,                0.91907,                 0.7436,                    nan,                    nan,                    nan,             0.00090556,             0.00090556,             0.00090556
                     39,                0.97088,                0.79963,                 1.4582,                0.93438,                0.84729,                0.90364,                0.73298,                    nan,                    nan,                    nan,             0.00089141,             0.00089141,             0.00089141
