                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2981,                 4.5959,                 4.2951,                0.00033,                0.17326,                0.00022,                  7e-05,                    nan,                    nan,                    nan,              0.0004638,              0.0004638,              0.0004638
                      2,                 3.0414,                 4.0854,                 3.9343,                0.00033,                0.17326,                0.00022,                  7e-05,                    nan,                    nan,                    nan,             0.00093082,             0.00093082,             0.00093082
                      3,                 2.8071,                 3.6982,                 3.5322,                0.00033,                0.17326,                0.00022,                  7e-05,                    nan,                    nan,                    nan,              0.0013884,              0.0013884,              0.0013884
                      4,                 2.7262,                 3.4748,                 3.2995,                0.79867,                 0.0819,                0.07613,                0.01837,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.6596,                 3.2858,                 3.1941,                0.12485,                0.39517,                0.09097,                0.02775,                    nan,                    nan,                    nan,              0.0013724,              0.0013724,              0.0013724
                      6,                 2.5098,                  3.147,                 3.1064,                  0.261,                0.31091,                0.20804,                0.06439,                    nan,                    nan,                    nan,              0.0013583,              0.0013583,              0.0013583
                      7,                 2.3886,                  2.932,                 2.9807,                0.12176,                0.24882,                0.09082,                 0.0263,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      8,                 2.3761,                 2.8276,                 2.9213,                0.18957,                 0.3574,                0.14612,                0.04693,                    nan,                    nan,                    nan,                0.00133,                0.00133,                0.00133
                      9,                 2.2651,                  2.662,                 2.8498,                0.34675,                0.23513,                0.23894,                0.08849,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                     10,                 2.2158,                 2.5192,                 2.7805,                0.52075,                0.47773,                0.46421,                0.20466,                    nan,                    nan,                    nan,              0.0013017,              0.0013017,              0.0013017
                     11,                 2.1395,                 2.4174,                 2.7332,                0.47055,                0.38051,                0.37377,                0.16511,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                     12,                 2.0957,                  2.334,                 2.6742,                0.47247,                0.59283,                0.54431,                0.20875,                    nan,                    nan,                    nan,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.9962,                  2.214,                 2.6256,                0.72617,                0.56977,                0.69981,                0.29982,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.9607,                 2.1473,                 2.5722,                0.64042,                0.53282,                0.62122,                0.27972,                    nan,                    nan,                    nan,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.8922,                 2.0407,                 2.5357,                0.69839,                0.50414,                0.61174,                0.32942,                    nan,                    nan,                    nan,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.8938,                 2.0435,                  2.489,                0.72494,                0.67093,                0.73585,                0.40247,                    nan,                    nan,                    nan,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.8306,                 1.9285,                 2.4165,                0.72429,                0.68145,                0.77344,                0.42252,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.7793,                 1.8979,                 2.3501,                0.73474,                0.72465,                0.81212,                0.45395,                    nan,                    nan,                    nan,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.7082,                 1.7767,                 2.2683,                 0.6432,                0.58228,                0.65478,                0.38453,                    nan,                    nan,                    nan,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.7009,                 1.7546,                 2.2634,                0.80548,                0.64939,                0.77685,                0.43056,                    nan,                    nan,                    nan,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.6482,                 1.6511,                 2.1775,                 0.6759,                0.69885,                0.76105,                 0.4224,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
